indicator_code,indicator_name,country_code,country_name,year,value,source,collection_time,collection_date,collector_class
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1980,358.003054209903,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1979,310.651387084352,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1978,249.802926180538,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1977,207.012962247396,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1976,197.726361142541,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1975,196.455786019338,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1974,164.946594142916,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1973,153.609468135703,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1972,127.927157014331,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1971,106.889292742067,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1970,108.848779482547,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1969,110.314794748212,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1968,111.211494175445,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
